fips_code,population_estimate_2020,population_estimate_2021,population_estimate_2022,population_estimate_2022
2185,11004.0,11054.0,10811.0,10603.0
2188,7797.0,7635.0,7453.0,7361.0
2195,3403.0,3381.0,3370.0,3427.0
2198,5741.0,5720.0,5650.0,5696.0
2220,8426.0,8383.0,8353.0,8282.0
2230,1238.0,1147.0,1092.0,1095.0
2240,6821.0,7007.0,7016.0,7077.0
2275,2126.0,2102.0,2071.0,2064.0
2282,682.0,710.0,685.0,687.0
2290,5309.0,5278.0,5169.0,5129.0
4001,65913.0,65389.0,65533.0,65036.0
4003,125527.0,126119.0,125487.0,124640.0
4005,145192.0,142897.0,144223.0,144472.0
4007,53351.0,53549.0,53922.0,54003.0
4009,38646.0,38921.0,38822.0,39525.0
4011,9528.0,9400.0,9327.0,9369.0
4012,16569.0,16385.0,16535.0,16710.0
4013,4445059.0,4499438.0,4555833.0,4585871.0
4015,214185.0,217164.0,220905.0,223682.0
4017,106763.0,107726.0,108800.0,109175.0
4019,1045175.0,1048914.0,1057476.0,1063162.0
4021,430187.0,448993.0,465037.0,484239.0
4023,47712.0,47956.0,48680.0,49158.0
4025,237217.0,242352.0,246230.0,249081.0
4027,205659.0,207284.0,208874.0,213221.0
5001,17107.0,16687.0,16498.0,16307.0
5003,18957.0,18654.0,18348.0,18262.0
5005,41686.0,42224.0,42485.0,42875.0
5007,286618.0,294297.0,302822.0,311013.0
5009,37381.0,37894.0,38280.0,38530.0
5011,10495.0,10343.0,10168.0,10104.0
5013,4736.0,4728.0,4687.0,4641.0
5015,28240.0,28539.0,28717.0,28814.0
5017,10156.0,10052.0,9834.0,9538.0
5019,21385.0,21244.0,21276.0,21274.0
5021,14529.0,14362.0,14271.0,14201.0
5023,24704.0,25028.0,25253.0,25445.0
5025,7552.0,7486.0,7467.0,7378.0
5027,22744.0,22490.0,22286.0,22150.0
5029,20730.0,20902.0,21021.0,21077.0
5031,111619.0,111794.0,112863.0,113993.0
5033,60142.0,60430.0,61041.0,61891.0
5035,48076.0,47438.0,47051.0,47139.0
5037,16795.0,16672.0,16590.0,16420.0
5039,6444.0,6309.0,6196.0,6185.0
5041,11324.0,11048.0,10758.0,10479.0
5043,17313.0,17057.0,16912.0,16945.0
5045,123820.0,125608.0,127565.0,129951.0
5047,17139.0,17166.0,17270.0,17468.0
5049,12054.0,12147.0,12355.0,12421.0
5051,100258.0,100393.0,99982.0,99784.0
5053,18018.0,18123.0,18129.0,18383.0
5055,45864.0,46341.0,46408.0,46743.0
5057,19989.0,19667.0,19481.0,19343.0
5059,33075.0,33079.0,33149.0,33258.0
5061,12757.0,12695.0,12622.0,12533.0
5063,37940.0,38100.0,38254.0,38320.0
5065,13602.0,13921.0,14029.0,14169.0
5067,16761.0,16781.0,16654.0,16784.0
5069,66830.0,65637.0,64295.0,63661.0
5071,25724.0,25957.0,25970.0,26129.0
5073,6293.0,6159.0,6129.0,6095.0
5075,16218.0,16329.0,16194.0,16318.0
5077,8526.0,8560.0,8367.0,8201.0
5079,12890.0,13168.0,12910.0,12898.0
5081,11974.0,11973.0,11865.0,11805.0
5083,21100.0,21229.0,21258.0,21400.0
5085,74055.0,74770.0,75199.0,75944.0
5087,16545.0,16944.0,17463.0,17775.0
5089,16873.0,16984.0,17289.0,17514.0
5091,42588.0,42494.0,42608.0,42415.0
5093,40538.0,39534.0,38863.0,38663.0
5095,6776.0,6648.0,6568.0,6512.0
5097,8485.0,8635.0,8543.0,8620.0
5099,8284.0,8184.0,8179.0,8120.0
5101,7196.0,7167.0,7101.0,7071.0
5103,22615.0,22312.0,21994.0,21793.0
5105,9997.0,9995.0,10073.0,10184.0
5107,16440.0,15825.0,15350.0,14961.0
5109,10162.0,10114.0,10159.0,10208.0
5111,22954.0,22691.0,22453.0,22397.0
5113,19177.0,19333.0,19334.0,19436.0
5115,63410.0,63778.0,64053.0,64593.0
5117,8249.0,8095.0,8077.0,8036.0
5119,399274.0,398108.0,399387.0,400009.0
